company,country
NASA,USA
SpaceX,USA
Starlink,USA
Blue Origin,USA
Kennedy Space Center,USA
Armstrong Flight Research Center,USA
Federal Aviation Administration,USA
Jet Propulsion Laboratory,USA
Naked Science,USA
SpaceNews,USA
United Launch Alliance,USA
Marshall Space Flight Center,USA
Virgin Galactic,USA
Rocket Lab,USA
Space Research Center,USA
Roscosmos,Russia
Japan Aerospace Exploration Agency,Japan
ESA,EU
Safran,Italy
Leonardo,Italy
Italian Space Agency,Italy
UK space agency,UK
Meggitt PLC,UK
Guiana Space Center,France
ClearSpace,Switzerland
