company,project,number
SpaceX,United Launch Alliance,1
SpaceX,SwissCube,1
SpaceX,Starlink,1
SpaceX,Virgin Galactic,1
SpaceX,Vega,1
SpaceX,OneWeb,3
SpaceX,United Airlines,2
SpaceX,Inmarsat-5 F4,1
SpaceX,Lufthansa,1
SpaceX,Qatar Airways,1
Jet Propulsion Laboratory,Discovery,1
Jet Propulsion Laboratory,Appolo,1
Jet Propulsion Laboratory,Plank,1
Jet Propulsion Laboratory,InSight,1
Jet Propulsion Laboratory,United Airlines,1
Jet Propulsion Laboratory,GGS WIND,1
Armstrong Flight Research Center,Everts Air,1
Armstrong Flight Research Center,Mitsubishi A6M Zero,1
Armstrong Flight Research Center,United Airlines,1
Federal Aviation Administration,United Launch Alliance,1
Federal Aviation Administration,Everts Air,1
Federal Aviation Administration,Mitsubishi A6M Zero,1
Federal Aviation Administration,Virgin Galactic,1
Federal Aviation Administration,United Airlines,3
Leonardo,Vega,1
NASA,Discovery,1
NASA,United Launch Alliance,2
NASA,ASM-135 ASAT,1
NASA,Everts Air,1
NASA,Mitsubishi A6M Zero,1
NASA,Jason-3,1
NASA,Appolo,1
NASA,Dragonfly,1
NASA,Plank,1
NASA,Virgin Galactic,1
NASA,InSight,1
NASA,ISS,3
NASA,Vega,1
NASA,OneWeb,2
NASA,United Airlines,8
NASA,GGS WIND,1
NASA,Arthemida,1
ESA,United Launch Alliance,1
ESA,SwissCube,1
ESA,Jason-3,1
ESA,IIS,4
ESA,Vega,4
ESA,OneWeb,1
ESA,United Airlines,4
Italian Space Agency,Vega,1
Naked Science,IIS,1
Starlink,Starlink,1
Starlink,OneWeb,1
Safran,Vega,2
Safran,United Airlines,1
Space Research Center,Discovery,1
Space Research Center,Appolo,1
Space Research Center,Plank,1
Space Research Center,InSight,1
Space Research Center,United Airlines,1
Space Research Center,GGS WIND,1
Roscosmos,ISS,3
Kennedy Space Center,OneWeb,1
Kennedy Space Center,United Airlines,1
SpaceNews,Ka-Sat,1
SpaceNews,United Launch Alliance,1
SpaceNews,SwissCube,1
SpaceNews,Jason-3,1
SpaceNews,Amos-6,,1
SpaceNews,Vega,1
SpaceNews,OneWeb,4
SpaceNews,United Airlines,3
SpaceNews,Inmarsat-5 F4,1
SpaceNews,Lufthansa,1
SpaceNews,Qatar Airways,1
UK space agency,Vega,1
UK space agency,OneWeb,1
Blue Origin,Starlink,1
Blue Origin,OneWeb,2
United Launch Alliance,United Launch Alliance,2
United Launch Alliance,Jason-3,1
United Launch Alliance,Virgin Galactic,1
United Launch Alliance,OneWeb,1
United Launch Alliance,United Airlines,2
Marshall Space Flight Center,Discovery,1
Marshall Space Flight Center,Appolo,1
Marshall Space Flight Center,Plank,1
Marshall Space Flight Center,InSight,1
Marshall Space Flight Center,United Airlines,1
Marshall Space Flight Center,GGS WIND,1
Meggitt PLC,United Airlines,1
Guiana Space Center,GSAT-19,1
Guiana Space Center,GSAT-17,1
Guiana Space Center,Vega,1
ClearSpace,Vega,1
ClearSpace,OneWeb,1
Virgin Galactic,United Launch Alliance,1
Virgin Galactic,Virgin Galactic,1
Virgin Galactic,United Airlines,1
Rocket Lab,Vega,1
Rocket Lab,OneWeb,1
Japan Aerospace Exploration Agency,Vega,1
Japan Aerospace Exploration Agency,OneWeb,1
